date,views,news
2015-10-16,3443,0
2015-10-17,2437,0
2015-10-18,3096,0
2015-10-19,6719,0
2015-11-17,9936,1
2015-11-18,8023,1
2015-11-19,6717,1
2016-02-11,2082,0
2016-02-12,1671,0
2016-02-13,1199,0
2016-02-14,1815,0
2016-03-11,4215,1
2016-03-12,2758,1
2016-03-13,3924,1
2016-03-14,5858,1
2017-07-26,3061,0
2017-07-27,2922,0
2017-07-28,2485,0
2017-07-29,1731,0
2017-08-26,3268,1
2017-08-27,4346,1
2017-08-28,7357,1
2017-08-29,8496,1
2018-08-10,3913,0
2018-08-11,2428,0
2018-08-12,2707,0
2018-08-13,5746,0
2018-08-14,6159,0
2018-08-15,6216,0
2018-09-10,6490,1
2018-09-11,6951,1
2018-09-12,6649,1
2018-09-13,6516,1
2018-09-14,4708,1
2018-09-15,2603,1
2019-08-01,6169,0
2019-08-02,5046,0
2019-08-03,4468,0
2019-08-04,4426,0
2019-08-05,7489,0
2019-08-06,9208,0
2019-08-07,12303,0
2019-08-08,10722,0
2019-09-01,6122,1
2019-09-02,9454,1
2019-09-03,10704,1
2019-09-04,10231,1
2019-09-05,9107,1
2019-09-06,5958,1
2019-09-07,3452,1
2019-09-08,5125,1
