date,views,cops
2015-10-31,2144,0
2015-11-01,2217,0
2015-11-02,4775,0
2015-11-03,7499,0
2015-11-04,8075,0
2015-11-05,7830,0
2015-11-06,5210,0
2015-11-07,3243,0
2015-11-08,4621,0
2015-11-09,8416,0
2015-11-10,8923,0
2015-11-11,8502,0
2015-11-12,8166,0
2015-11-30,7127,1
2015-12-01,7070,1
2015-12-02,6544,1
2015-12-03,6336,1
2015-12-04,4459,1
2015-12-05,2153,1
2015-12-06,2641,1
2015-12-07,4675,1
2015-12-08,4394,1
2015-12-09,5156,1
2015-12-10,4880,1
2015-12-11,3464,1
2015-12-12,2155,1
2016-10-07,4869,0
2016-10-08,2786,0
2016-10-09,3098,0
2016-10-10,5586,0
2016-10-11,4983,0
2016-10-12,3729,0
2016-10-13,5489,0
2016-10-14,4306,0
2016-10-15,2695,0
2016-10-16,3432,0
2016-10-17,7157,0
2016-10-18,8044,0
2016-11-07,10072,1
2016-11-08,11262,1
2016-11-09,10645,1
2016-11-10,9612,1
2016-11-11,6135,1
2016-11-12,3638,1
2016-11-13,4366,1
2016-11-14,6013,1
2016-11-15,7818,1
2016-11-16,10686,1
2016-11-17,10785,1
2016-11-18,7215,1
2017-10-06,5143,0
2017-10-07,2985,0
2017-10-08,3534,0
2017-10-09,6110,0
2017-10-10,6495,0
2017-10-11,4945,0
2017-10-12,3095,0
2017-10-13,3227,0
2017-10-14,2868,0
2017-10-15,4032,0
2017-10-16,7567,0
2017-10-17,7753,0
2017-11-06,10763,1
2017-11-07,11418,1
2017-11-08,11121,1
2017-11-09,10485,1
2017-11-10,6769,1
2017-11-11,4435,1
2017-11-12,6072,1
2017-11-13,10592,1
2017-11-14,8390,1
2017-11-15,7805,1
2017-11-16,10374,1
2017-11-17,7289,1
2018-11-02,4201,0
2018-11-03,3881,0
2018-11-04,5619,0
2018-11-05,9036,0
2018-11-06,9765,0
2018-11-07,9107,0
2018-11-08,8492,0
2018-11-09,6411,0
2018-11-10,4321,0
2018-11-11,5433,0
2018-11-12,9478,0
2018-11-13,9094,0
2018-11-14,11185,0
2018-11-15,8327,0
2018-12-02,4416,1
2018-12-03,7171,1
2018-12-04,6988,1
2018-12-05,6337,1
2018-12-06,6217,1
2018-12-07,4148,1
2018-12-08,2134,1
2018-12-09,2978,1
2018-12-10,4934,1
2018-12-11,5231,1
2018-12-12,4391,1
2018-12-13,4213,1
2018-12-14,2982,1
2018-12-15,1622,1
2019-11-02,4627,0
2019-11-03,6921,0
2019-11-04,10953,0
2019-11-05,11752,0
2019-11-06,11077,0
2019-11-07,10197,0
2019-11-08,7400,0
2019-11-09,4083,0
2019-11-10,6288,0
2019-11-11,12255,0
2019-11-12,18378,0
2019-11-13,18867,0
2019-12-02,7320,1
2019-12-03,8424,1
2019-12-04,8000,1
2019-12-05,7082,1
2019-12-06,5361,1
2019-12-07,2535,1
2019-12-08,3257,1
2019-12-09,5634,1
2019-12-10,5870,1
2019-12-11,5982,1
2019-12-12,5300,1
2019-12-13,3667,1
