date,views,ipccs
2018-09-08,2282,0
2018-09-09,3354,0
2018-09-10,6490,0
2018-09-11,6951,0
2018-09-12,6649,0
2018-09-13,6516,0
2018-09-14,4708,0
2018-09-15,2603,0
2018-10-08,5465,1
2018-10-09,6457,1
2018-10-10,5524,1
2018-10-11,4037,1
2018-10-12,2297,1
2018-10-13,2324,1
2018-10-14,2774,1
2018-10-15,5044,1
2019-07-08,4405,0
2019-07-09,4122,0
2019-07-10,4435,0
2019-07-11,3750,0
2019-07-12,2786,0
2019-07-13,1444,0
2019-07-14,2174,0
2019-07-15,3207,0
2019-08-08,10722,1
2019-08-09,6867,1
2019-08-10,4180,1
2019-08-11,4982,1
2019-08-12,10778,1
2019-08-13,11823,1
2019-08-14,11954,1
2019-08-15,10787,1
2019-08-25,7440,0
2019-08-26,11707,0
2019-08-27,12596,0
2019-08-28,11674,0
2019-08-29,11229,0
2019-08-30,7524,0
2019-08-31,4418,0
2019-09-01,6122,0
2019-09-02,9454,0
2019-09-25,12903,1
2019-09-26,11430,1
2019-09-27,8993,1
2019-09-28,4912,1
2019-09-29,6114,1
2019-09-30,9342,1
2019-10-01,9529,1
2019-10-02,9447,1
